employee_id,employee_name,employment_group_id,employment_group_name,employee_skill_groups,day_index,date,bucket_index,time_local,skill_group_id,skill_group_name,work
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,20,10:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,21,10:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,22,11:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,23,11:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,24,12:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,25,12:30,billing_c,billing-c,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,26,13:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,27,13:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,28,14:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,29,14:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,30,15:00,billing_c,billing-c,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,31,15:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,32,16:00,billing_c,billing-c,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,33,16:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,34,17:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",0,2026-01-05,35,17:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,20,10:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,21,10:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,22,11:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,23,11:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,24,12:00,billing_c,billing-c,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,25,12:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,26,13:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,27,13:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,28,14:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,29,14:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,30,15:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,31,15:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,32,16:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,33,16:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,34,17:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",1,2026-01-06,35,17:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,18,09:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,19,09:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,20,10:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,21,10:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,22,11:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,23,11:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,24,12:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,25,12:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,26,13:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,27,13:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,28,14:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,29,14:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,30,15:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,31,15:30,billing_c,billing-c,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,32,16:00,billing_c,billing-c,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",2,2026-01-07,33,16:30,billing_c,billing-c,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,20,10:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,21,10:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,22,11:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,23,11:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,24,12:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,25,12:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,26,13:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,27,13:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,28,14:00,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,29,14:30,billing_v,billing-v,1
A01,Agent A01,full_time,Full Time,"billing-c, billing-v",3,2026-01-08,30,15:00,billing_c,billing-c,1
